timestamp,type,form,details
2026-08-16,CHANGE,fozd'amesk,訳語の文字化けを修正
2026-08-16,CHANGE,annenokan,語源の綴りを修正
2026-08-16,CHANGE,fadara,語源の綴りを修正
2026-08-16,CHANGE,hangie,語源の綴りを修正
2026-08-16,CHANGE,mantaksok,語源の綴りを修正
2026-08-16,CHANGE,ovs'estofekmedar,語源の綴りを修正
2026-08-16,CHANGE,sindigusd'artigom,語源の綴りを修正
2026-08-16,CHANGE,tedungi,語源の綴りを修正
2026-08-16,CHANGE,ukdeveizendavifne,語源の綴りを修正
2026-08-16,CHANGE,z'amanzemadingvam,語源の綴りを修正
2026-08-16,CHANGE,nasdaver,語源の綴りを修正
2026-08-16,CHANGE,deivgai,語源の綴りを修正
2026-08-16,CHANGE,oskurmizer,語源の綴りを修正
2026-08-16,CHANGE,moaksermak,語源の綴りを修正
2026-08-16,CHANGE,tazidodoza,語源の綴りを修正
2026-08-16,CHANGE,mogamduran,語源の綴りを修正
2026-08-16,CHANGE,asurida,語源の言語略称を修正、類義語の相互参照を追加
2026-08-16,CHANGE,avr'ora,語源の言語略称を修正
2026-08-16,CHANGE,dons,語源の言語略称を修正
2026-08-16,CHANGE,endrata,語源の言語略称を修正
2026-08-16,CHANGE,ger'oi,語源の言語略称を修正
2026-08-16,CHANGE,raniro,語源の言語略称を修正
2026-08-16,CHANGE,senbereri,語源の言語略称を修正
2026-08-16,CHANGE,badeh,自己参照の対義語を削除、対義語の相互参照を追加
2026-08-16,CHANGE,uan,用例を語源欄へ誤記していたものを用例欄へ移動
2026-08-16,CHANGE,ferfigasedi,見出し語末尾の空白を削除
2026-08-16,CHANGE,ace,訳語末尾の空白を削除
2026-08-16,CHANGE,deasrone,訳語末尾の空白を削除
2026-08-16,CHANGE,satidzanu,無題欄を語法欄へ変更
2026-08-16,CHANGE,avvadagor,品詞「略語」の訳語グループを削除
2026-08-16,CHANGE,"Rarnokau mare, rarnoka nore","語頭を大文字に修正　旧: rarnokau mare, rarnoka nore"
2026-08-16,CHANGE,amadeigon,対義語の相互参照を追加
2026-08-16,CHANGE,as'e,対義語の相互参照を追加
2026-08-16,CHANGE,deiv,対義語の相互参照を追加
2026-08-16,CHANGE,devvom,対義語の相互参照を追加
2026-08-16,CHANGE,enmanon,対義語の相互参照を追加
2026-08-16,CHANGE,fasder,対義語の相互参照を追加
2026-08-16,CHANGE,fet,対義語の相互参照を追加
2026-08-16,CHANGE,idoe,対義語の相互参照を追加
2026-08-16,CHANGE,igar,対義語の相互参照を追加
2026-08-16,CHANGE,irean,対義語の相互参照を追加、類義語の相互参照を追加
2026-08-16,CHANGE,ittesk,対義語の相互参照を追加
2026-08-16,CHANGE,marzek,対義語の相互参照を追加
2026-08-16,CHANGE,moadeigon,対義語の相互参照を追加
2026-08-16,CHANGE,momarin,対義語の相互参照を追加
2026-08-16,CHANGE,moz'enarog,対義語の相互参照を追加
2026-08-16,CHANGE,raaran,対義語の相互参照を追加、類義語の相互参照を追加
2026-08-16,CHANGE,s'are,対義語の相互参照を追加
2026-08-16,CHANGE,sebmihico,対義語の相互参照を追加
2026-08-16,CHANGE,-ekmedar,類義語の相互参照を追加
2026-08-16,CHANGE,aksera,類義語の相互参照を追加
2026-08-16,CHANGE,barde,類義語の相互参照を追加
2026-08-16,CHANGE,behin,類義語の相互参照を追加
2026-08-16,CHANGE,daresk,類義語の相互参照を追加
2026-08-16,CHANGE,devanne,類義語の相互参照を追加
2026-08-16,CHANGE,devorka,類義語の相互参照を追加
2026-08-16,CHANGE,diven,類義語の相互参照を追加
2026-08-16,CHANGE,dukesesk,類義語の相互参照を追加
2026-08-16,CHANGE,dun,類義語の相互参照を追加
2026-08-16,CHANGE,ein,類義語の相互参照を追加
2026-08-16,CHANGE,eis,類義語の相互参照を追加
2026-08-16,CHANGE,enta,類義語の相互参照を追加
2026-08-16,CHANGE,fadunin,類義語の相互参照を追加
2026-08-16,CHANGE,faton,類義語の相互参照を追加
2026-08-16,CHANGE,faveigus,類義語の相互参照を追加
2026-08-16,CHANGE,gerdaom,類義語の相互参照を追加
2026-08-16,CHANGE,gise,類義語の相互参照を追加
2026-08-16,CHANGE,hamdurae,類義語の相互参照を追加
2026-08-16,CHANGE,ia,類義語の相互参照を追加
2026-08-16,CHANGE,kab,類義語の相互参照を追加
2026-08-16,CHANGE,miresk,類義語の相互参照を追加
2026-08-16,CHANGE,Misava,類義語の相互参照を追加
2026-08-16,CHANGE,momanon,類義語の相互参照を追加
2026-08-16,CHANGE,sariuegiesk,類義語の相互参照を追加
2026-08-16,CHANGE,satide,類義語の相互参照を追加
2026-08-16,CHANGE,simuv,類義語の相互参照を追加
2026-08-16,CHANGE,siskan,類義語の相互参照を追加
2026-08-16,CHANGE,tege,類義語の相互参照を追加
2026-08-16,CHANGE,tom,類義語の相互参照を追加
2026-08-16,CHANGE,var,類義語の相互参照を追加
2026-08-16,CHANGE,vees-,類義語の相互参照を追加
2026-08-16,CHANGE,vobi,類義語の相互参照を追加
2026-08-16,CHANGE,vuran,類義語の相互参照を追加
2026-08-16,CHANGE,zikikroom fodin,類義語の相互参照を追加
2026-08-21,ADD,sertin,
2026-08-21,ADD,sedgib,
2026-08-21,ADD,sedgibin,
2026-08-21,ADD,sedgibe,
2026-08-21,ADD,verakz,
2026-08-21,ADD,verido,
2026-08-21,ADD,verido,
2026-08-21,DELETE,verido,
2026-08-22,ADD,barene,
2026-08-22,ADD,barene,
2026-08-22,CHANGE,barenin,旧: barene
2026-08-22,ADD,hirgeve,
2026-08-22,ADD,hirgevin,
2026-08-23,ADD,ververen,
2026-08-23,CHANGE,adeaesk,
2026-08-23,ADD,vervode,
2026-08-23,ADD,vervod,
2026-08-23,ADD,vervodom,
2026-08-23,CHANGE,vervodom,
2026-08-23,ADD,unohvame,
2026-08-23,ADD,unohvamom,
2026-08-23,ADD,unohvamesk,
2026-08-23,CHANGE,unohvamesk,
2026-08-23,CHANGE,unohvamesk,
2026-08-23,CHANGE,unohvame,
2026-08-23,CHANGE,unohvamom,
2026-08-23,CHANGE,torcoskom,
2026-08-23,ADD,harmonia,
2026-08-23,ADD,car'aizenda,
2026-08-23,CHANGE,car'aizenda,
2026-08-23,ADD,maasuaven,
2026-08-23,ADD,geasuaven,
2026-08-23,ADD,magisdare,
2026-08-23,CHANGE,maasuaven,
2026-08-23,ADD,magisdarom,
2026-08-23,CHANGE,magisdare,
2026-08-23,CHANGE,maasuaven,
2026-08-23,CHANGE,geasuaven,
2026-08-23,CHANGE,sedgibin,
2026-08-23,CHANGE,arebe,
2026-08-23,ADD,sarareb,
2026-08-23,ADD,arzarere,
2026-08-23,ADD,arzarin,
2026-08-23,CHANGE,arzarerin,旧: arzarin
2026-08-23,ADD,arzareresk,
2026-08-23,ADD,arzarerom,
2026-08-23,ADD,arzarer,
2026-08-23,CHANGE,fozin,
2026-08-23,CHANGE,tevoz,
2026-08-23,ADD,modadire,
2026-08-23,ADD,modadir,
2026-08-23,ADD,modadirom,
2026-08-23,ADD,modadiresk,
2026-08-23,CHANGE,modadir,
2026-08-23,ADD,fozver,
2026-08-23,ADD,fozverin,
2026-08-23,ADD,denaguz,
2026-08-23,ADD,budadibada,
2026-08-23,CHANGE,budadibada,
2026-08-23,CHANGE,endos,
2026-08-23,CHANGE,gamkeze,
2026-08-23,CHANGE,endos,
2026-08-23,CHANGE,endos,
2026-08-23,CHANGE,gamkez,
2026-08-23,ADD,farendos,
2026-08-23,CHANGE,farendos,
2026-08-23,CHANGE,zuf,
2026-08-23,ADD,gamkezzuf,
2026-08-23,ADD,sasezad,
2026-08-23,ADD,sasezade,
2026-08-23,ADD,sasezadom,
2026-08-23,ADD,sasezadave,
2026-08-23,CHANGE,sasezadave,
2026-08-23,CHANGE,sasezadave,
2026-08-24,CHANGE,iram,
2026-08-24,CHANGE,verakz,
2026-08-24,CHANGE,fozver,
2026-08-24,ADD,kest'eke,
2026-08-24,ADD,kest'ek,
2026-08-24,ADD,kest'ekin,
2026-08-24,ADD,aradgest'ek,
2026-08-24,CHANGE,aradgest'ek,
2026-08-24,ADD,aradguze,
2026-08-27,ADD,semaut,
2026-08-27,ADD,semautin,
2026-08-27,ADD,manaut,
2026-08-27,ADD,manautin,
